Штрихкод;Номенклатура;;Габарит;Ед изм;Склад;Документ поступления;Номер;Дата;Количество;Стоимость;Поставщик
2000000004990;900222 Клапан 521-02.009-05;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000014 от 09.02.2017 16:27:34;14;09.02.2017 16:27;2;38000.00;Ленпромарматура ООО
2000000007946;900222 Клапан 521-02.009-05;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000015 от 09.02.2017 16:29:43;15;09.02.2017 16:29;1;19000.00;Ленпромарматура ООО
2000000006093;20470060004 Гидрораспределитель ВЕ6.574 Г24НМ УХЛ4;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000027 от 10.02.2016 23:59:59;27;10.02.2016 23:59;2;5200.00;Гидроресурс ООО
2000000006086;20470060003 Гидрораспределитель ВЕ6.574 Г24Н УХЛ4;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000027 от 10.02.2016 23:59:59;27;10.02.2016 23:59;2;5200.00;Гидроресурс ООО
2000000005003;901321 Гидрораспределитель 1Р203-АЛ3Д-34-Г24НМ УХЛ;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000026 от 10.02.2016 23:59:59;26;10.02.2016 23:59;1;15500.00;Гидроресурс ООО
2000000007953;00000901243 Гидрораспределитель 1Р203-АЛ4Д-34-Г24НМ УХЛ4;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000026 от 10.02.2016 23:59:59;26;10.02.2016 23:59;1;15500.00;Гидроресурс ООО
2000000006130;20470240021 Дифманометр-напоромер ДТмМПКр-100-10кПа Э;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000090 от 30.06.2017 23:59:59;90;30.06.2017 23:59;5;36367.40;СПЗ ПАО
2000000007977;20470140015 Манометр МП-100Кр-6.0Мра-2,5-Э-Англ.;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000168 от 16.08.2016 16:46:19;168;16.08.2016 16:46;6;64511.10;Манотомь ОАО
2000000006109;901322 Гидрораспределитель ВЕ10.34 Г24 УНМ УХЛ4;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000025 от 09.02.2016 23:59:59;25;09.02.2016 23:59;2;16940.00;Гидроресурс ООО
2000000010236;00370326102 Круг В1 - НД - 16 ГОСТ 2590-2006/20 - 3ГП - ГОСТ 1050-2013;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-001641 от 08.05.2018 11:02:18;0000-001641;08.05.2018 11:02;10;524.40;БАЛТПРОМКОМПЛЕКТ ООО
2000000005010;00000901560 Фильтр ФГС-10-8-ОМ2 ОСТ5Р.5314-76, ИЕВД.061146.006-07 (577-99.2471-07);;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000120 от 17.05.2016 14:36:13;120;17.05.2016 14:36;2;94183.12;КРАСНЫЙ ГИДРОПРЕСС АО
2000000006116;00000901560 Фильтр ФГС-10-8-ОМ2 ОСТ5Р.5314-76, ИЕВД.061146.006-07 (577-99.2471-07);;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000121 от 17.05.2016 14:50:11;121;17.05.2016 14:50;4;188366.24;КРАСНЫЙ ГИДРОПРЕСС АО
2000000006123;00000901560 Фильтр ФГС-10-8-ОМ2 ОСТ5Р.5314-76, ИЕВД.061146.006-07 (577-99.2471-07);;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000269 от 27.12.2016 16:05:51;269;27.12.2016 16:05;2;119671.42;КРАСНЫЙ ГИДРОПРЕСС АО
2000000007960;00000901560 Фильтр ФГС-10-8-ОМ2 ОСТ5Р.5314-76, ИЕВД.061146.006-07 (577-99.2471-07);;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-000471 от 14.02.2018 16:20:23;0000-000471;14.02.2018 16:20;2;124317.48;КРАСНЫЙ ГИДРОПРЕСС АО
2000000005027;20470140014 Манометр МП-100Кр-25.0МРа-2,5-Э-Air.Oil-Danger;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000168 от 16.08.2016 16:46:19;168;16.08.2016 16:46;12;120598.20;Манотомь ОАО
2000000008967;20010130001 Лента монтажная тип KVA 12х0,75 артикул 56012;;;м;Склад  1  Черные металлы;Поступление товаров и услуг 00000000011 от 15.03.2016 23:59:59;11;15.03.2016 23:59;30;1215.00;Торговый Дом Нева ООО
2000000008974;20010130001 Лента монтажная тип KVA 12х0,75 артикул 56012;;;м;Склад  1  Черные металлы;Поступление товаров и услуг 00000000247 от 26.12.2016 14:49:10;247;26.12.2016 14:49;150;4126.32;КОМПАНИЯ ПЕТРОКОМПЛЕКТ ООО
2000000010243;20010130001 Лента монтажная тип KVA 12х0,75 артикул 56012;;;м;Склад  1  Черные металлы;Поступление товаров и услуг 00000000249 от 26.12.2016 14:43:49;249;26.12.2016 14:43;22.5;619.06;КОМПАНИЯ ПЕТРОКОМПЛЕКТ ООО
2000000012988;20010130001 Лента монтажная тип KVA 12х0,75 артикул 56012;;;м;Склад  1  Черные металлы;Поступление товаров и услуг 00000000248 от 26.12.2016 14:29:05;248;26.12.2016 14:29;37.5;1031.58;КОМПАНИЯ ПЕТРОКОМПЛЕКТ ООО
2000000008981;20010130002 Лента монтажная тип PVAM 17х1,0 артикул 56317;;;м;Склад  1  Черные металлы;Поступление товаров и услуг 00000000011 от 15.03.2016 23:59:59;11;15.03.2016 23:59;25;3705.50;Торговый Дом Нева ООО
2000000006147;20470100011 Клапан обратный КОС-10-1 ИШУД.306138.009-01, ИШУД.306138.009ТУ;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-001415 от 20.04.2018 14:45:29;0000-001415;20.04.2018 14:45;4;87036.68;ОРИОН НПП ООО
2000000008998;00490220310 Круг В 32/ХН70ВМЮТ (ЭИ-765) ТУ14-1-1358;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 242 от 26.12.2017 23:59:59;242;26.12.2017 23:59;405.52;1277890.59;Электросталь АО Металлургический завод
2000000010250;00490220310 Круг В 32/ХН70ВМЮТ (ЭИ-765) ТУ14-1-1358;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 00000000155 от 11.10.2016 10:34:29;155;11.10.2016 10:34;454.48;1432175.09;Электросталь АО Металлургический завод
2000000005034;00000902534 Сильфон ЦАКИ.304553.001 ТУ, ЦАКИ.304553.001;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000007 от 24.01.2017 13:42:18;7;24.01.2017 13:42;2;10200.00;Металкомп АО
2000000005041;00000902534 Сильфон ЦАКИ.304553.001 ТУ, ЦАКИ.304553.001;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000183 от 20.11.2017 11:45:55;183;20.11.2017 11:45;2;10800.00;Металкомп АО
2000000007045;00000902534 Сильфон ЦАКИ.304553.001 ТУ, ЦАКИ.304553.001;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000075 от 25.03.2016 23:59:59;75;25.03.2016 23:59;6;21000.00;Металкомп АО
2000000007984;00000902534 Сильфон ЦАКИ.304553.001 ТУ, ЦАКИ.304553.001;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000185 от 01.09.2016 13:15:28;185;01.09.2016 13:15;2;9040.00;Металкомп АО
2000000007991;00000902534 Сильфон ЦАКИ.304553.001 ТУ, ЦАКИ.304553.001;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-001650 от 10.05.2018 14:50:11;0000-001650;10.05.2018 14:50;4;21600.00;Металкомп АО
2000000007052;00000904547 Термометр ТК 100-75 ТУ-ТК-72;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000147 от 29.09.2017 23:59:59;147;29.09.2017 23:59;6;33282.00;СИГНАЛ  ООО ЭПО
2000000007069;00000904547 Термометр ТК 100-75 ТУ-ТК-72;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000148 от 29.09.2017 23:59:59;148;29.09.2017 23:59;4;22188.00;СИГНАЛ  ООО ЭПО
2000000010274;00698104014 Лист Б - О - ПН - 5 х б/ук ГОСТ 19903-2015/14Х17Н2 - М3б ГОСТ 7350-77;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 00000000028 от 27.04.2016 16:33:38;28;27.04.2016 16:33;30;13983.05;КЛМ ООО ГК
2000000007113;00000904173 Преобразователь термоэлектрический ТХА/1-1172 ВП, исполнение ЮВМА.405221.003-18. Техническое описание и инструкция по эксплуатации - 1 шт.;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000147 от 30.06.2016 0:00:00;147;30.06.2016 0:00;12;219804.00;ЭТАЛОН  ЗАО НПК
2000000007120;00000904173 Преобразователь термоэлектрический ТХА/1-1172 ВП, исполнение ЮВМА.405221.003-18. Техническое описание и инструкция по эксплуатации - 1 шт.;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-002708 от 20.07.2018 14:27:01;0000-002708;20.07.2018 14:27;56;1079344.00;ЭТАЛОН  ЗАО НПК
2000000008059;00000904173 Преобразователь термоэлектрический ТХА/1-1172 ВП, исполнение ЮВМА.405221.003-18. Техническое описание и инструкция по эксплуатации - 1 шт.;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000151 от 29.09.2017 0:00:00;151;29.09.2017 0:00;18;361062.00;ЭТАЛОН  ЗАО НПК
2000000006161;20470100013 Клапан запорный DN6, PN100, 521-01.463-01 экспорт;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000244 от 06.12.2016 16:02:52;244;06.12.2016 16:02;22;223825.00;ЗАВОД БУРЕВЕСТНИК ОАО
2000000008066;20470100014 Клапан запорный DN10 PN100, 521-01.467-03 экспорт;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000010 от 31.01.2017 11:38:21;10;31.01.2017 11:38;6;64332.74;ЗАВОД БУРЕВЕСТНИК ОАО
2000000006154;20470100015 Клапан запорный DN10 PN100, 521-01.463-02 экспорт;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000157 от 29.07.2016 23:59:59;157;29.07.2016 23:59;1;10012.00;ЗАВОД БУРЕВЕСТНИК ОАО
2000000008073;20470100015 Клапан запорный DN10 PN100, 521-01.463-02 экспорт;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000158 от 29.07.2016 0:00:00;158;29.07.2016 0:00;3;30051.90;ЗАВОД БУРЕВЕСТНИК ОАО
2000000008080;20470100015 Клапан запорный DN10 PN100, 521-01.463-02 экспорт;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000213 от 31.10.2016 9:25:40;213;31.10.2016 9:25;2;20207.00;ЗАВОД БУРЕВЕСТНИК ОАО
2000000005089;20470100016 Клапан запорный, 521-01.465-03 экспорт;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000158 от 29.07.2016 0:00:00;158;29.07.2016 0:00;2;21912.60;ЗАВОД БУРЕВЕСТНИК ОАО
2000000007137;20470100016 Клапан запорный, 521-01.465-03 экспорт;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000199 от 30.09.2016 23:59:59;199;30.09.2016 23:59;4;43865.00;ЗАВОД БУРЕВЕСТНИК ОАО
2000000007144;20470100016 Клапан запорный, 521-01.465-03 экспорт;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-001576 от 28.04.2018 0:00:00;0000-001576;28.04.2018 0:00;4;47995.00;ЗАВОД БУРЕВЕСТНИК ОАО
2000000008011;20470060001 Плита присоединительная выход вниз резьба М22х1,5 Ду10;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000073 от 23.03.2016 23:59:59;73;23.03.2016 23:59;3;7271.19;СЗЭМО ГМК  ЗАО
2000000008028;20470140018 Манометр МТИ-П3-1218-1кгс/см2-0,6 (экспорт);;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000092 от 31.03.2016 23:59:59;92;31.03.2016 23:59;2;14596.00;Манометр ООО
2000000007106;20470140019 Манометр МТИ-П3-1218-4кгс/см2-0,6 (экспорт);;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000092 от 31.03.2016 23:59:59;92;31.03.2016 23:59;2;14596.00;Манометр ООО
2000000005065;20470140020 Манометр МП-100Кр-6,0 kgf/cm2-2,5-Э-Англ.;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000098 от 18.04.2016 23:59:59;98;18.04.2016 23:59;18;162202.28;Манотомь ОАО
2000000005072;904900 Мановакууметр МВП-100Кр-1,5 kaf/см2-2,5 экспорт;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000097 от 18.04.2016 23:59:59;97;18.04.2016 23:59;12;111902.04;Манотомь ОАО
2000000006178;20470250003 Сигнализатор давления унифицированный СДУ 6А-3, сер.2, экспорт английский;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 215 от 27.12.2017 11:16:19;215;27.12.2017 11:16;1;33750.00;Ульяновское Конструкторское Бюро Приборостроения АО/УКБП АО
2000000007151;20470250003 Сигнализатор давления унифицированный СДУ 6А-3, сер.2, экспорт английский;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000125 от 31.08.2017 23:59:59;125;31.08.2017 23:59;2;33000.00;Ульяновское Конструкторское Бюро Приборостроения АО/УКБП АО
2000000007168;20470250003 Сигнализатор давления унифицированный СДУ 6А-3, сер.2, экспорт английский;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-003408 от 13.09.2018 13:19:16;0000-003408;13.09.2018 13:19;4;135000.00;Ульяновское Конструкторское Бюро Приборостроения АО/УКБП АО
2000000008097;20470250003 Сигнализатор давления унифицированный СДУ 6А-3, сер.2, экспорт английский;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000272 от 28.12.2016 16:28:24;272;28.12.2016 16:28;2;33000.00;Ульяновское Конструкторское Бюро Приборостроения АО/УКБП АО
2000000005058;20391280001 Манометр МП-100Кр-10,0 k/cm2-2,5-Э-Анг;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000098 от 18.04.2016 23:59:59;98;18.04.2016 23:59;6;55383.68;Манотомь ОАО
2000000008042;20391280002 Манометр МП-100Кр-16,0 k/cm2-1,5-Э-Анг;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000098 от 18.04.2016 23:59:59;98;18.04.2016 23:59;18;162202.28;Манотомь ОАО
2000000008035;20391280003 Манометр МП-100Кр-100,0 k/cm2-1,5-Э-Ан;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000098 от 18.04.2016 23:59:59;98;18.04.2016 23:59;12;108792.98;Манотомь ОАО
