Штрихкод;Номенклатура;Габарит;Ед изм;Склад;Документ поступления;Номер;Дата;Количество;Стоимость;Поставщик
2000000007502;20470100011 Клапан обратный КОС-10-1 ИШУД.306138.009-01, ИШУД.306138.009ТУ;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-004526 от 07.12.2018 10:53:26;0000-004526;07.12.2018 10:53;4,000;91 910,72;ОРИОН НПП ООО
2000000007557;0000802125 Конденсатор К52-11 63В-47мкФ ОЖО.464.234ТУ;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004501 от 05.12.2018 15:11:06;0000-004501;05.12.2018 15:11;27,000;44 901,00;ЯНГЕЛЬ ООО
2000000007069;20470130002 Мановакуумметр МВП-100Кр-1.5 кгс/см2, кл.т.2,5 ТУ4212-055-00225590-2007;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000153 от 13.10.2017 10:55:28;153;13.10.2017 10:55;6,000;64 984,35;Манотомь ОАО
2000000007809;20390730002 Оптопара (оптрон) 3ОТ110Б аАО.339.064 ТУ;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004594 от 11.12.2018 14:35:24;0000-004594;11.12.2018 14:35;96,000;56 672,54;СВЕТОЗАР КОМПОНЕНТ ООО
2000000007519;20470100029 Клапан предохранительный КП-10-3 ИШУД.306562.008-01, ИШУД.306562.008ТУ;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-004526 от 07.12.2018 10:53:26;0000-004526;07.12.2018 10:53;1,000;191 168,43;ОРИОН НПП ООО
2000000007281;20470100034 Клапан предохранительный МКПВ-20/3Т2В1 УХЛ4 ТУ2-053-1737-85;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 217 от 29.12.2017 0:00:00;217;29.12.2017 0:00;1,000;5 508,47;Промгидравлика ООО
2000000007786;20390750042 Переключатель пакетный ПП51-1311 ТУ 3424-055-00216823-99;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004592 от 11.12.2018 14:07:44;0000-004592;11.12.2018 14:07;1,000;4 521,00;ВНИИР-ПРОГРЕСС ОАО
2000000007861;20470730007 Шланг НПКФ.302641.009-16 МШНП-Н-16-160-1600;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-004576 от 11.12.2018 10:32:46;0000-004576;11.12.2018 10:32;14,000;244 188,00;Судмаш НПО ООО
2000000007298;20470100091 Клапан предохранительный МКПВ-20/3 Т3П2.24;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 213 от 22.12.2017 10:46:16;213;22.12.2017 10:46;1,000;16 949,15;МИР ГИДРАВЛИКИ ООО
2000000007571;20391151091 ЛИКА.754342.802 - Шильд;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004484 от 30.11.2018 23:59:59;0000-004484;30.11.2018 23:59;1,000;165,99;ПЕТРОШИЛЬД ООО
2000000007588;20391151092 ЛИКА.754342.800 - Шильд;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004484 от 30.11.2018 23:59:59;0000-004484;30.11.2018 23:59;1,000;153,99;ПЕТРОШИЛЬД ООО
2000000007595;20391151093 ЛИКА.754342.801 - Шильд;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004484 от 30.11.2018 23:59:59;0000-004484;30.11.2018 23:59;1,000;143,82;ПЕТРОШИЛЬД ООО
2000000007601;20391151094 ЛИКА.754342.513 - Шильд;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004484 от 30.11.2018 23:59:59;0000-004484;30.11.2018 23:59;1,000;114,56;ПЕТРОШИЛЬД ООО
2000000007618;20391151095 ЛИКА.754342.483 - Шильд;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004484 от 30.11.2018 23:59:59;0000-004484;30.11.2018 23:59;1,000;114,56;ПЕТРОШИЛЬД ООО
2000000007625;20391151096 ЛИКА.754342.481 - Шильд;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004484 от 30.11.2018 23:59:59;0000-004484;30.11.2018 23:59;1,000;109,94;ПЕТРОШИЛЬД ООО
2000000007632;20391151097 ЛИКА.754342.484 - Шильд;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004484 от 30.11.2018 23:59:59;0000-004484;30.11.2018 23:59;2,000;211,32;ПЕТРОШИЛЬД ООО
2000000007649;20391151098 ЛИКА.754342.419 - Шильд;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004484 от 30.11.2018 23:59:59;0000-004484;30.11.2018 23:59;1,000;105,66;ПЕТРОШИЛЬД ООО
2000000007656;20391151099 ЛИКА.754342.803 - Шильд;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004484 от 30.11.2018 23:59:59;0000-004484;30.11.2018 23:59;1,000;150,18;ПЕТРОШИЛЬД ООО
2000000007533;20390900073 Пускатель ПМФ-Л 1113 ОМ5 380В 1,7А ТРТ111 1з ЗИП Д1:1 с приемкой ВП ТУ 3427-010-05758017-2004;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-004537 от 10.12.2018 10:23:45;0000-004537;10.12.2018 10:23;1,000;38 520,52;Уралэлектро ОАО Медногорский электротехнический завод
2000000007854;20390080028 Блок БМ3;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004598 от 11.12.2018 15:54:11;0000-004598;11.12.2018 15:54;3,000;333 999,00;Аврора АО Концерн НПО
2000000007731;20391151111 Шильд (ЦЕИР);;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004486 от 30.11.2018 23:59:59;0000-004486;30.11.2018 23:59;128,000;1 244,16;ПЕТРОШИЛЬД ООО
2000000007441;06117401000 Герметик УГ-2Д марки А ТУ2513-089-00151963-02;;кг;Склад  13 Лаки, краски;Поступление товаров и услуг 0000-004512 от 06.12.2018 13:02:58;0000-004512;06.12.2018 13:02;3,000;8 805,00;НИИСК ФГУП
2000000007328;20470460001 Электромагнит ЭМ1;;шт;НВИ Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000008 от 21.01.2016 23:59:59;8;21.01.2016 23:59;4,000;367 528,00;АРКТИКА  АО СПО
2000000007335;20470460002 Электромагнит ЭМ5;;шт;НВИ Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000008 от 21.01.2016 23:59:59;8;21.01.2016 23:59;1,000;93 673,00;АРКТИКА  АО СПО
2000000007137;06660818051 Рукав 32 х 47 - 87 - У ГОСТ 25452-90;;м;Склад цех 6;Поступление товаров и услуг 0000-002884 от 06.08.2018 15:22:55;0000-002884;06.08.2018 15:22;2,400;3 285,60;СЗПК ООО
2000000007137;06660818051 Рукав 32 х 47 - 87 - У ГОСТ 25452-90;;м;Склад  82 Сырая резина;Поступление товаров и услуг 0000-002884 от 06.08.2018 15:22:55;0000-002884;06.08.2018 15:22;1,800;2 464,20;СЗПК ООО
2000000007496;20470170001 Насос ручной НР-1 ИШУД.063821.001, ИШУД.063821.001 ТУ;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-004526 от 07.12.2018 10:53:26;0000-004526;07.12.2018 10:53;1,000;215 239,66;ОРИОН НПП ООО
2000000007885;20470170001 Насос ручной НР-1 ИШУД.063821.001, ИШУД.063821.001 ТУ;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-004519 от 06.12.2018 14:53:52;0000-004519;06.12.2018 14:53;1,000;203 825,44;ОРИОН НПП ООО
2000000007342;20470340002 Пакет фильтрующий 8Д2.966.070-3 8ДО.296.070 ТУ;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000011 от 29.01.2016 23:59:59;11;29.01.2016 23:59;4,000;68 676,00;Технодинамика АО
2000000007793;20470340002 Пакет фильтрующий 8Д2.966.070-3 8ДО.296.070 ТУ;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-004593 от 11.12.2018 14:20:21;0000-004593;11.12.2018 14:20;8,000;163 904,00;УАП ГИДРАВЛИКА АО
2000000007762;244184 Корпус 463-32.1151;;шт;Склад  81 Стальное литье;Поступление товаров и услуг 0000-004579 от 11.12.2018 14:30:26;0000-004579;11.12.2018 14:30;1,000;11 129,00;АРМАЛИТ АО
2000000007755;249926 Крышка МГ 12.00.002;;шт;Склад  81 Стальное литье;Поступление товаров и услуг 0000-004521 от 30.11.2018 23:59:59;0000-004521;30.11.2018 23:59;26,000;59 490,00;АРМАЛИТ АО
2000000007748;249942 Корпус МГ 12.00.001;;шт;Склад  81 Стальное литье;Поступление товаров и услуг 0000-004521 от 30.11.2018 23:59:59;0000-004521;30.11.2018 23:59;26,000;103 760,00;АРМАЛИТ АО
2000000007540;00000802120 Конденсатор К52-11-50В-33 мкФ ± 20%-В ОЖО.464.234 ТУ;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004501 от 05.12.2018 15:11:06;0000-004501;05.12.2018 15:11;27,000;39 825,00;ЯНГЕЛЬ ООО
